Title,Business Function,Q1 (1-5),Q2 (1-5),Q3 (1-5),Q4 (1-5),Q5 (1-5),Q6 (1-5),Q7 (1-5),Q8 (1-5),Q9 (1-5),Q10 (1-5),Q11 (1-5),Q12 (1-5),Q13 (1-5),Q14 (1-5),Q15 (1-5),Q16 (1-5),Q17 (1-5),Q18 (1-5),Q19 (1-5),Q20 (1-5),Q21 (1-5),Q22 (1-5),Q23 (1-5),Q24 (1-5),Q25 (1-5),Q26 (1-5),Q27 (1-5),Q28 (1-5),Q29 (1-5),Q30 (1-5),Q31 (1-5),Q32 (1-5),Q33 (1-5),Q34 (1-5),Q35 (1-5),Q36 (1-5),Q37 (1-5),Q38 (1-5),Q39 (1-5),Q40 (1-5),Q41 (1-5),Q42 (1-5),Q43 (1-5),Q44 (1-5),Q45 (1-5),Q46 (1-5),Q47 (1-5),Q48 (Workplace Health Assessment),Q49 (Strengths/Barriers),Q50 (Workplace Improvement)
Executive,Operations,2,1,3,5,5,2,5,4,4,5,1,4,1,1,1,1,2,4,5,1,2,1,1,2,5,3,2,2,2,1,1,5,4,2,2,1,1,4,5,1,1,1,2,1,1,4,5,Green Meadow Southeast Facility health: Needs focus,Strengths: accountability. Barriers: communication gaps.,Top 3 improvements: 1) clarity 2) coaching 3) cross-team rituals
Executive,Engineering,1,1,1,5,5,2,5,5,5,5,2,5,1,2,1,1,2,5,4,2,1,1,1,1,5,4,1,1,1,1,1,5,3,3,1,3,1,5,5,2,1,3,1,1,1,5,5,Green Meadow Southeast Facility health: Average,"Strengths: collaboration, speed. Barriers: resourcing.",Top 3 improvements: 1) clarity 2) coaching 3) cross-team rituals
Executive,Legal,1,2,1,5,4,1,4,5,5,5,1,5,1,1,2,1,2,3,5,1,2,2,1,1,5,5,1,1,1,1,1,5,4,1,1,1,1,4,5,1,1,2,1,3,1,5,5,Green Meadow Southeast Facility health: Needs focus,Strengths: accountability. Barriers: communication gaps.,Top 3 improvements: 1) clarity 2) coaching 3) cross-team rituals
Manager,Marketing,1,2,1,4,4,1,5,5,5,4,1,5,1,1,1,3,1,5,5,1,1,1,1,1,5,4,1,1,1,1,3,5,3,2,1,1,1,5,5,1,1,2,2,2,1,5,4,Green Meadow Southeast Facility health: Strong,Strengths: innovation. Barriers: feedback culture.,Top 3 improvements: 1) clarity 2) coaching 3) cross-team rituals
Manager,Operations,1,1,1,5,5,1,5,5,5,5,1,5,2,1,2,2,2,5,5,1,1,2,2,1,5,5,2,1,1,1,1,5,5,1,2,1,1,5,5,2,1,1,2,1,1,5,5,Green Meadow Southeast Facility health: Average,Strengths: innovation. Barriers: feedback culture.,Top 3 improvements: 1) clarity 2) coaching 3) cross-team rituals
Director,Legal,1,1,1,5,4,2,5,5,4,5,3,5,1,2,1,1,1,4,5,3,1,2,1,1,5,4,1,1,1,1,3,4,5,1,1,2,2,4,5,1,1,2,1,2,2,5,5,Green Meadow Southeast Facility health: Needs focus,Strengths: innovation. Barriers: feedback culture.,Top 3 improvements: 1) clarity 2) coaching 3) cross-team rituals
IC,Finance,2,2,1,3,5,2,4,5,4,5,2,5,1,1,1,1,1,5,4,1,2,1,2,1,5,5,1,1,1,3,1,5,5,1,2,1,1,3,4,1,1,2,1,2,2,4,5,Green Meadow Southeast Facility health: Average,Strengths: innovation. Barriers: feedback culture.,Top 3 improvements: 1) clarity 2) coaching 3) cross-team rituals
Manager,Marketing,1,3,1,5,5,1,5,4,5,5,2,3,1,1,1,2,2,5,5,1,1,1,1,1,5,5,2,1,1,1,1,5,4,1,1,2,1,5,5,1,2,2,3,1,1,5,4,Green Meadow Southeast Facility health: Strong,"Strengths: trust, clarity. Barriers: silos.",Top 3 improvements: 1) clarity 2) coaching 3) cross-team rituals
IC,IT,1,3,1,4,5,2,5,4,4,3,1,4,2,1,2,1,1,5,5,1,2,2,1,1,5,5,1,1,1,1,1,5,5,1,1,2,1,4,5,1,1,3,1,1,1,5,4,Green Meadow Southeast Facility health: Needs focus,"Strengths: collaboration, speed. Barriers: resourcing.",Top 3 improvements: 1) clarity 2) coaching 3) cross-team rituals
Executive,HR,1,3,1,5,5,1,5,5,5,5,2,4,1,1,3,1,1,5,5,1,1,1,3,1,4,5,1,1,1,1,1,5,4,1,2,1,2,5,3,1,2,2,1,2,1,3,5,Green Meadow Southeast Facility health: Strong,"Strengths: trust, clarity. Barriers: silos.",Top 3 improvements: 1) clarity 2) coaching 3) cross-team rituals
