C FASTR Category,Lower Threshold Value,Upper Threshold Value,Copy for Summary Section,Copy for Risks Section,Copy for Recommendations Section
Collusion,85,100,"Note that this section is reserved for results in the 85th percentile or above. The Collusion scores for this team are excellent. Strong scores for behaviors measured in such qestions as: “People on my team regularly talk negatively about others” are rare. Good collusion scores are unusual in most organizations, and are typically a sign of strong relational health, both individually and within the overall culture.","It's important for teams with excellent Collusion scores to be clear on why they are succeeding, so that they can be protect those individual capabilities and organizational habits. Without knowing exactly how to sustain these scores, Collusion can re-emerge during times of stress, or with teh intorduction of new leadership, etc.","Peer-to-Peer: Keep bridge-building visible with recognition programs, formal and informal rewards, and persistent encouragement, and celebration, and ""thanks for always having my back"" type acknowldegment of that aspect of the workpace relationships.

With Managers: Maintain manager awareness training to spot early warning signs.

Culture: Celebrate low collusion scores in company-wide communications, reinforcing “We protect relationships” as part of your identity."
Collusion,0,84,"Your Collusion scores indicate the potential that harmful group behaviors—such as “People on my team regularly talk negatively about others” and “It’s common for team members to align with each other against someone”—are occurring. Sub-optimal Collusion scores usually have a damaging effect on overall trust levels, as they can contribue to creating factions and making collaboration harder. It's important to ensure that, at all three critical levels (peer-to-peer, with managers, and in cultural support), Collusion is challenged vigorously and never allowed to become normalized.","Left unaddressed, high Collusion will deepen divisions, increase turnover, and erode performance.","Peer-to-Peer:  
            +  Train employees in real-time intervention language (“Let’s bring that concern directly to them”; ""How can I help you to improve your relationship with Chris?""; or (during 'the meeting after the meeting') ""How can we surface these ideas in so that they can be acted upon?"" etc.). 
             +  Establish and encourage norms for addressing issues directly be refernecing the cultural principles regarding Collusion.

•	With Managers: 
             +   Require managers to be diligent about avoiding Collusion amongst themselves
              +  Encourage managers to model skills at intervening on Collusion without becoming ""the conversation police."" 
              +  Support managers by providing both the skills and the infrastructure to help facilitate repair conversations between parties.

•	In the Culture: 
            +  Make “No harmful group behavior” a visible cultural value, reinforce it in onboarding, rewards, recognition habits. 
            +  Integrate examples and skill-building into leadership training.
            +  Promote bridge-building stories in internal communications and add Collusion-awareness checkpoints to team health reviews."
"Feedback, Receiving",85,100,High scores in “I feel I am good at receiving feedback” indicate strong openness across the board.,Even receptive cultures can backslide if feedback becomes infrequent.,"Peer-to-Peer: Keep feedback flowing with regular peer exchanges.
With Managers: Share stories of positive outcomes from feedback well-received.
Culture: Celebrate teams that use feedback to drive measurable improvement."
"Feedback, Receiving",0,84,Low scores in items like “I feel I am good at receiving feedback” show people struggle to accept input without defensiveness. This discourages peers and managers from offering feedback at all.,"Without feedback, performance problems and skill gaps go unaddressed.","Peer-to-Peer: Train teams to listen without interruption and ask clarifying questions.
With Managers: Model openness to feedback by responding calmly and appreciatively.
Culture: Normalize feedback as a growth tool by including it in team rituals and recognition."
"Feedback, Giving",85,100,High scores show that giving feedback is both a skill and a habit here.,Overconfidence can lead to feedback becoming formulaic.,"Peer-to-Peer: Keep feedback fresh by encouraging situational examples.
With Managers: Continue modeling balance between praise and constructive points.
Culture: Highlight how feedback leads to tangible wins in performance."
"Feedback, Giving",0,84,"Low scores in “I feel I am good at giving feedback” suggest hesitation or lack of skill in delivering honest, constructive input.","Without candid feedback, poor behaviors or processes persist unchecked.","Peer-to-Peer: Train in framing feedback constructively and specifically.
With Managers: Require regular, structured feedback conversations.
Culture: Position feedback-giving as a responsibility, not an option."
Accountability,85,100,High scores in accountability indicate reliability is a cultural norm.,Complacency can creep in without active reinforcement.,"Peer-to-Peer: Keep commitments visible to all stakeholders.
With Managers: Continue tracking and celebrating on-time delivery.
Culture: Link accountability metrics to organizational success stories."
Accountability,0,84,Low scores in “People on my team follow through on their commitments” reveal unreliable execution.,Missed commitments damage trust and delay results.,"Peer-to-Peer: Use shared tracking tools for commitments.
With Managers: Enforce clear deadlines and consequences.
Culture: Make follow-through a non-negotiable cultural value."
Sensitivity,85,100,High Sensitivity scores show strong perspective-taking and respect.,It can fade if speed and efficiency consistently outweigh inclusiveness.,"Peer-to-Peer: Keep diverse voices involved in problem-solving.
With Managers: Continue modeling empathy in all communications.
Culture: Celebrate sensitivity as a driver of innovation and cohesion."
Sensitivity,0,84,Low scores in “Our team consistently reinforces the importance of understanding others’ perspectives” show a lack of empathy and perspective-taking.,Misunderstandings and exclusion can become chronic.,"Peer-to-Peer: Practice perspective-taking in meetings.
With Managers: Model curiosity and ask for multiple viewpoints.
Culture: Provide cultural competence and empathy training."
Trust,85,100,High scores across items like “I trust that my manager understands what I do and supports me” show that trust is a strength at every level.,Trust can erode quickly if a breach is mishandled.,"Peer-to-Peer: Recognize reliability and honesty in peer acknowledgements.
With Managers: Continue modeling transparency and fairness.
Culture: Protect trust-building rituals and track trust metrics in culture dashboards."
Trust,0,84,"Low Trust scores across items like “I trust my colleagues to look out for my best interests” and “The culture emphasizes repairing trust when it’s damaged” mean people doubt whether others—peers, managers, or the culture—will act fairly, keep commitments, or safeguard relationships.","Low trust slows decision-making, increases conflict, and drives disengagement.","Peer-to-Peer: Train teams to address misunderstandings directly and build trust through shared wins.
With Managers: Require visible follow-through on commitments and encourage vulnerability.
Culture: Embed trust-repair training into leadership programs and make restoring trust an explicit performance expectation."
Relationship Focus,85,100,High Relationship Focus scores mean people actively value and protect their connections.,Neglect during rapid growth or change can weaken relationships.,"Peer-to-Peer: Keep showing up for each other beyond work tasks.
With Managers: Continue prioritizing relationship health in team planning.
Culture: Recognize bridge-builders at all levels as cultural role models."
Relationship Focus,0,84,"Low scores in “I feel that my teammates genuinely care about me” mean relationships are treated as transactional, not valued assets.",Weak relationships break easily under stress.,"Peer-to-Peer: Introduce regular relationship check-ins.
With Managers: Make relationship health a standing agenda item.
Culture: Include relationship-building in performance measures."
,,,,,
